2019-11-07 07:08:35,1966.7万,105.2万,33.1万,9.8,21427人评
2019-11-07 08:08:47,1966.7万,105.2万,33.1万,9.8,21427人评
2019-11-07 09:09:00,1966.7万,105.2万,33.1万,9.8,21428人评
2019-11-07 10:09:13,1966.8万,105.2万,33.1万,9.8,21429人评
2019-11-07 11:09:25,1966.9万,105.2万,33.1万,9.8,21429人评
2019-11-07 12:09:38,1966.9万,105.2万,33.1万,9.8,21430人评
2019-11-07 13:09:51,1967万,105.2万,33.1万,9.8,21431人评
2019-11-07 14:10:03,1967.2万,105.2万,33.1万,9.8,21432人评
2019-11-07 15:10:16,1967.4万,105.2万,33.1万,9.8,21432人评
2019-11-07 16:10:29,1967.5万,105.2万,33.1万,9.8,21437人评
2019-11-07 17:10:42,1967.6万,105.2万,33.1万,9.8,21437人评
2019-11-07 18:10:55,1967.7万,105.2万,33.1万,9.8,21439人评
2019-11-07 19:11:07,1967.8万,105.2万,33.1万,9.8,21442人评
2019-11-07 20:11:20,1968万,105.2万,33.1万,9.8,21444人评
2019-11-07 21:11:33,1968.2万,105.2万,33.1万,9.8,21447人评
2019-11-07 22:11:45,1968.4万,105.3万,33.1万,9.8,21448人评
2019-11-07 23:11:58,1968.7万,105.3万,33.1万,9.8,21452人评
2019-11-08 00:12:10,1968.9万,105.3万,33.1万,9.8,21453人评
2019-11-08 01:12:23,1969.3万,105.3万,33.1万,9.8,21456人评
2019-11-08 02:12:36,1969.5万,105.3万,33.1万,9.8,21461人评
时间,播放数,关注,弹幕,评分,评分人数
2019-11-08 03:17:35,1969.6万,105.3万,33.1万,9.8,21464人评
时间,播放数,关注,弹幕,评分,评分人数
2019-11-08 04:17:50,1969.7万,105.3万,33.1万,9.8,21465人评
时间,播放数,关注,弹幕,评分,评分人数
2019-11-08 05:18:10,1969.7万,105.3万,33.1万,9.8,21465人评
时间,播放数,关注,弹幕,评分,评分人数
2019-11-08 06:18:25,1969.8万,105.3万,33.1万,9.8,21465人评
时间,播放数,关注,弹幕,评分,评分人数
2019-11-08 07:18:40,1969.8万,105.3万,33.1万,9.8,21465人评
时间,播放数,关注,弹幕,评分,评分人数
2019-11-08 08:19:00,1969.8万,105.3万,33.1万,9.8,21465人评
时间,播放数,关注,弹幕,评分,评分人数
2019-11-08 09:19:22,1969.9万,105.3万,33.1万,9.8,21466人评
时间,播放数,关注,弹幕,评分,评分人数
2019-11-08 10:19:36,1970万,105.3万,33.1万,9.8,21466人评
时间,播放数,关注,弹幕,评分,评分人数
2019-11-08 11:19:53,1970.1万,105.3万,33.1万,9.8,21468人评
时间,播放数,关注,弹幕,评分,评分人数
2019-11-08 12:20:10,1970.1万,105.3万,33.1万,9.8,21471人评
时间,播放数,关注,弹幕,评分,评分人数
2019-11-08 13:20:30,1970.3万,105.3万,33.1万,9.8,21474人评
时间,播放数,关注,弹幕,评分,评分人数
2019-11-08 14:20:52,1970.5万,105.3万,33.1万,9.8,21474人评
时间,播放数,关注,弹幕,评分,评分人数
2019-11-08 15:21:09,1970.6万,105.3万,33.1万,9.8,21474人评
